detector,localization,k_n,edge_mae,ler_mae,lwr_mae
canny,sub-pixel,2.0,0.20557064640217287,0.01683294524911494,0.004023028085645031
threshold,pixel,2.0,0.36287781289287435,0.015303160312172714,0.00467674909408311
threshold,sub-pixel,2.0,0.20140280907411928,0.027053041075176476,0.046284694681298255
canny,pixel,2.0,0.37633289089630806,0.04337014011882245,0.08961152443028508
canny,sub-pixel,2.0,0.20140280907411928,0.027053041075176476,0.046284694681298255
threshold,pixel,2.0,0.3701217663346022,0.0040477430896244115,0.03834729248005786
threshold,sub-pixel,2.0,0.20470434684937347,0.02018496685559612,0.005692304174234497
canny,pixel,2.0,0.3834974690478572,0.04315349218104103,0.03236647000866766
canny,sub-pixel,2.0,0.20470434684937347,0.02018496685559612,0.005692304174234497
threshold,pixel,2.0,0.3820512406820794,0.01964513293505532,0.008964113671952711
threshold,sub-pixel,2.0,0.201011921433644,0.020518150593923035,0.027790024565942817
canny,pixel,2.0,0.3718822841381029,0.06184535623961085,0.06950589159148612
canny,sub-pixel,2.0,0.201011921433644,0.020518150593923035,0.027790024565942817
threshold,pixel,4.0,0.3888932902664599,0.004579529656775327,0.022761499175878885
threshold,sub-pixel,4.0,0.2075211933631389,0.03096923858428291,0.04351228977507038
canny,pixel,4.0,0.4595393697494158,0.09536594321549274,0.23982950626538013
canny,sub-pixel,4.0,0.28228315737636717,0.05260738902615858,0.17304062096981832
threshold,pixel,4.0,0.3681377395075489,0.04235723821986226,0.012876269332714685
threshold,sub-pixel,4.0,0.21431452063106937,0.025999305147328844,0.025878816420834116
canny,pixel,4.0,0.5059769247620146,0.1373346818141069,0.14357064985874057
canny,sub-pixel,4.0,0.33976176452252915,0.1044814934314594,0.05223810703311926
threshold,pixel,4.0,0.36189387699808206,0.010982077801900081,0.011067837278068815
threshold,sub-pixel,4.0,0.2094177897621905,0.025255140862661785,0.05468703213838255
canny,pixel,4.0,0.4715695691957381,0.07699926306828564,0.1746610303375653
canny,sub-pixel,4.0,0.31180703246175234,0.058697110298696065,0.15365848366430246
threshold,pixel,4.0,0.37809557640269476,0.019937061279238777,0.013750077655745097
threshold,sub-pixel,4.0,0.2143760695252804,0.02666898013297614,0.037466883724738276
canny,pixel,4.0,0.4469657266321174,0.08899905180784062,0.0650346812080298
canny,sub-pixel,4.0,0.277716486061934,0.04530638961023037,0.02878030426381506
threshold,pixel,4.0,0.35387133928341336,0.01176426675817377,0.0055512182122887666
threshold,sub-pixel,4.0,0.20675088240539635,0.008299739033937992,0.001909885504886688
canny,pixel,4.0,0.4658671195258021,0.07556244369750753,0.14217197064548937
canny,sub-pixel,4.0,0.3117960448998123,0.043770839361542024,0.08691547059702898
threshold,pixel,0.3,0.3531416483448025,0.023467157549430295,0.05856457279769778
threshold,sub-pixel,0.3,0.18981451775494593,0.03620303657694024,0.013359802286282196
canny,pixel,0.3,0.3571138998857776,0.08640933826323927,0.026725274652322994
canny,sub-pixel,0.3,0.18981451775494593,0.03620303657694024,0.013359802286282196
threshold,pixel,0.3,0.3698443054373941,0.023536887669804107,0.021431397815392383
threshold,sub-pixel,0.3,0.1911376110613962,0.029877752338130836,0.033679149314947754
canny,pixel,0.3,0.3669907216829045,0.07468568329041247,0.04726195078021145
canny,sub-pixel,0.3,0.1911376110613962,0.029877752338130836,0.033679149314947754
threshold,pixel,0.3,0.3603710866075514,0.010108686820262225,0.052470200972212444
threshold,sub-pixel,0.3,0.19058749623235763,0.021693398359014404,0.0008205816598925164
canny,pixel,0.3,0.3847774694310392,0.06782775177760703,0.03796818568761928
canny,sub-pixel,0.3,0.19058749623235763,0.021693398359014404,0.0008205816598925164
threshold,pixel,0.3,0.35989413008505144,0.013348191483616989,0.03291746057685341
threshold,sub-pixel,0.3,0.1883657469797308,0.010342436973752478,0.00862627118008974
canny,pixel,0.3,0.37359244023853,0.05721917945826416,0.031842506316350994
canny,sub-pixel,0.3,0.1883657469797308,0.010342436973752478,0.00862627118008974
threshold,pixel,0.3,0.37173554700216216,0.038985025152901476,0.01292001232712825
threshold,sub-pixel,0.3,0.18054659343284485,0.026684542502585562,0.023036118346289047
canny,pixel,0.3,0.3756434144065996,0.09319497768948948,0.013482749586108955
canny,sub-pixel,0.3,0.18054659343284485,0.026684542502585562,0.023036118346289047
threshold,pixel,1.0,0.3576746133847192,0.005383618707027971,0.07741249339071277
threshold,sub-pixel,1.0,0.1838995039096554,0.014759330310193719,0.017205859293230263
canny,pixel,1.0,0.36466912754907677,0.03576938732706347,0.010479522933804164
canny,sub-pixel,1.0,0.1838995039096554,0.014759330310193719,0.017205859293230263
threshold,pixel,1.0,0.37003818781559206,0.006163098651163379,0.06942738624945166
threshold,sub-pixel,1.0,0.19263651761691325,0.025512179171644278,0.009507104576924608
canny,pixel,1.0,0.3773941821392035,0.05165722366476899,0.009211882123832504
canny,sub-pixel,1.0,0.19263651761691325,0.025512179171644278,0.009507104576924608
threshold,pixel,1.0,0.3620961461880136,0.01650692095821471,0.028368463018471735
threshold,sub-pixel,1.0,0.1807740786693742,0.018605919335868748,0.025653381218397886
canny,pixel,1.0,0.3757535126469269,0.0952437457404176,0.062331901522449495
canny,sub-pixel,1.0,0.1807740786693742,0.018605919335868748,0.025653381218397886
threshold,pixel,1.0,0.36866572574363043,0.024238652408956507,0.00130743443224568
threshold,sub-pixel,1.0,0.19447199698953516,0.019479166195756292,0.005341135852757528
canny,pixel,1.0,0.3823102707919616,0.08000580968210758,0.04912077450860597
canny,sub-pixel,1.0,0.19447199698953516,0.019479166195756292,0.005341135852757528
threshold,pixel,1.0,0.3751748967448818,0.040238807475131866,0.016692357290766235
threshold,sub-pixel,1.0,0.19339769549688263,0.03148261354067261,0.025563416311274123
canny,pixel,1.0,0.3821326406625891,0.0945437430399576,0.07705816501629936
canny,sub-pixel,1.0,0.19339769549688263,0.03148261354067261,0.025563416311274123
threshold,pixel,2.0,0.36720798120983156,0.013363301485494916,0.045226202432832485
threshold,sub-pixel,2.0,0.20402514282593867,0.018769402322076578,0.0013893728866791744
canny,pixel,2.0,0.3764184119602127,0.04013651604542956,0.014293043200410915
canny,sub-pixel,2.0,0.20632209754807723,0.01919860713335142,0.0003321951444490434
threshold,pixel,2.0,0.3813030819461437,0.01519791311878882,0.0031869184043513687
threshold,sub-pixel,2.0,0.2059115299562229,0.02587462356406678,0.036959606716082005
canny,pixel,2.0,0.38085631671880105,0.05537767335424504,0.013567750333166817
canny,sub-pixel,2.0,0.2059115299562229,0.02587462356406678,0.036959606716082005
threshold,pixel,2.0,0.37293406419073194,0.024484623945321693,0.019481081253860832
threshold,sub-pixel,2.0,0.2025282528656442,0.036208902331162474,0.005968472673347769
canny,pixel,2.0,0.3819741870780913,0.06036409405920162,0.05086063436676325
canny,sub-pixel,2.0,0.2025282528656442,0.036208902331162474,0.005968472673347769
threshold,pixel,2.0,0.3653352843272427,0.01434742606145012,0.035837473478844695
threshold,sub-pixel,2.0,0.19429495328502475,0.011571605877105595,0.012666179923448206
canny,pixel,2.0,0.371938742012844,0.05505593723685975,0.011936439562481915
canny,sub-pixel,2.0,0.19429495328502475,0.011571605877105595,0.012666179923448206
threshold,pixel,2.0,0.3765216038539669,0.02549292128152192,0.008729117587454205
threshold,sub-pixel,2.0,0.20830704712356582,0.03498785934663606,0.047733707628660804
canny,pixel,2.0,0.3856033954892088,0.05758319979779303,0.0377173052548867
canny,sub-pixel,2.0,0.20830704712356582,0.03498785934663606,0.047733707628660804
threshold,pixel,4.0,0.3764833634302749,0.004978779652367593,0.059076564749007465
threshold,sub-pixel,4.0,0.206844838001971,0.020910606608242954,0.009399350004509532
canny,pixel,4.0,0.5252910178298641,0.1293480950064575,0.1335139691178049
canny,sub-pixel,4.0,0.35290284965808494,0.07893396932319074,0.13019999885411804
threshold,pixel,4.0,0.366917069525427,0.010010719819947389,0.03865129073487994
threshold,sub-pixel,4.0,0.212655063621234,0.013134060561058258,0.0019039761113421871
canny,pixel,4.0,0.47898748538263386,0.10575325422739557,0.023772269078164987
canny,sub-pixel,4.0,0.32753025850102435,0.06912755780075863,0.04462594995344338
threshold,pixel,4.0,0.3666553126049137,0.005597881334968635,0.06301279239868451
threshold,sub-pixel,4.0,0.2123644131150073,0.017255676074395376,0.004241125011999358
canny,pixel,4.0,0.4843920616895546,0.10405034024086735,0.010518719196260573
canny,sub-pixel,4.0,0.31603088287240977,0.0742968725228006,0.022530003724591685
threshold,pixel,4.0,0.37045325894451364,0.03484084790208175,0.09670283699505755
threshold,sub-pixel,4.0,0.21204378138788615,0.008921896065071988,0.037724872720412694
canny,pixel,4.0,0.44008922461878375,0.033750618506736774,0.03889897623923222
canny,sub-pixel,4.0,0.2935370347505734,0.0175330842354392,0.060157713130071455
threshold,pixel,4.0,0.3621275823915118,0.009743373935185873,0.058720948913991045
threshold,sub-pixel,4.0,0.20782090585115193,0.029225207980481116,0.009062469028295661
canny,pixel,4.0,0.4509202266384937,0.09836428044025858,0.023519337073327096
canny,sub-pixel,4.0,0.283093141275519,0.058820816001266873,0.016621712822133317
threshold,pixel,0.3,0.39606425877927187,0.04415704613934679,0.07791168286461314
threshold,sub-pixel,0.3,0.2364845594109497,0.031202924034587687,0.056288130365842015
canny,pixel,0.3,0.42333949748975386,0.12969185682587547,0.1776871660254833
canny,sub-pixel,0.3,0.2364845594109497,0.031202924034587687,0.056288130365842015
threshold,pixel,0.3,0.3933001678377364,0.04171483797531572,0.06104784188726953
threshold,sub-pixel,0.3,0.23612802480645034,0.059966335617235855,0.06934834868484185
canny,pixel,0.3,0.4169703473959771,0.11078050024876063,0.164998525408788
canny,sub-pixel,0.3,0.23612802480645034,0.059966335617235855,0.06934834868484185
