method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.007063923869282007,0.004740055184811354,0.005747601855546236,0.16824868321418762,0.033303141593933105,0.031043052673339844,0.022747039794921875,0.032173097133636475,0.02274709939956665,0.2695247679948807
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.001480897655710578,0.0013319588033482432,0.0014889768790453672,0.04158128425478935,0.018315553665161133,0.06268835067749023,0.01184237003326416,0.04050194472074509,0.011842355132102966,0.2356620356440544
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0018232957227155566,0.0015895203687250614,0.0006917547434568405,0.0406509954482317,0.06425511837005615,0.04170536994934082,0.013055086135864258,0.05298028141260147,0.01305513083934784,0.22997760772705078
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0015665217069908977,0.0016006395453587174,0.0016719811828806996,0.03976708464324474,0.04010915756225586,0.016422033309936523,0.02490699291229248,0.028265617787837982,0.024907082319259644,0.23015951365232468
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.001493327785283327,0.001242145779542625,0.0021152847912162542,0.041033413261175156,0.019171714782714844,0.03413248062133789,0.037423014640808105,0.026652075350284576,0.03742299973964691,0.2405220791697502
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.0021998602896928787,0.0024132688995450735,0.003969797398895025,0.0755048617720604,0.0374983549118042,0.03903758525848389,0.024684429168701172,0.038267992436885834,0.024684548377990723,0.23831766098737717
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.004186862148344517,0.0031295327935367823,0.005011551547795534,0.07653366774320602,0.016111373901367188,0.02857339382171631,0.00467836856842041,0.022342339158058167,0.00487026572227478,0.23539065569639206
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.0032037277705967426,0.0028137469198554754,0.0051469565369188786,0.07711438834667206,0.03603088855743408,0.03686964511871338,0.005212664604187012,0.03645028918981552,0.005726352334022522,0.24219968914985657
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.001612780150026083,0.003923388663679361,0.0031914347782731056,0.07724904641509056,0.02827751636505127,0.03923439979553223,0.008307337760925293,0.033755943179130554,0.008307397365570068,0.24487576633691788
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.004090678412467241,0.004298263229429722,0.005934173706918955,0.1121453195810318,0.03509676456451416,0.03198575973510742,0.007205486297607422,0.03354128450155258,0.007682368159294128,0.2557423338294029
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.005490464624017477,0.0034427077043801546,0.007748722098767757,0.1088857427239418,0.01998603343963623,0.01730513572692871,0.062094688415527344,0.01864563673734665,0.06209467351436615,0.25337257981300354
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.003227762645110488,0.0034871010575443506,0.0028164007235318422,0.11003118753433228,0.04333841800689697,0.0460667610168457,0.010052680969238281,0.04470260441303253,0.010052680969238281,0.2578411102294922
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.005589686334133148,0.005114754196256399,0.007460454944521189,0.11233927309513092,0.012669920921325684,0.03874075412750244,0.02660214900970459,0.025705352425575256,0.026602119207382202,0.24824223667383194
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.0034122131764888763,0.0029750396497547626,0.008245481178164482,0.1648048311471939,0.032004356384277344,0.019837379455566406,0.02019178867340088,0.025920823216438293,0.020191743969917297,0.2754482328891754
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.005989122670143843,0.006800397299230099,0.006564715877175331,0.16673900187015533,0.0285489559173584,0.031699538230895996,0.03129100799560547,0.03012426197528839,0.0312909334897995,0.2716955989599228
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.008101052604615688,0.004377170465886593,0.0058167171664536,0.16326137632131577,0.036463141441345215,0.045667409896850586,0.011406540870666504,0.041065312922000885,0.01140652596950531,0.26390767097473145
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.010040991939604282,0.0048993960954248905,0.010823838412761688,0.16412218660116196,0.02944660186767578,0.022845029830932617,0.03308892250061035,0.026145808398723602,0.03308890759944916,0.27121682465076447
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0015622623031958938,0.001983310328796506,0.0022084482479840517,0.042010508477687836,0.02401888370513916,0.0416562557220459,0.05239534378051758,0.03283753991127014,0.052395135164260864,0.22892606258392334
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0013774994295090437,0.0021102940663695335,0.0021682477090507746,0.04124363325536251,0.0421910285949707,0.020068764686584473,0.05342698097229004,0.03112996369600296,0.053427040576934814,0.2336563766002655
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0018191480776295066,0.001143379369750619,0.002692597219720483,0.041507015004754066,0.031464219093322754,0.042294859886169434,0.06568574905395508,0.036879539489746094,0.06568565964698792,0.2367766872048378
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0015913171228021383,0.0021752307657152414,0.0030390273313969374,0.04138560779392719,0.05209493637084961,0.014933586120605469,0.06042647361755371,0.03351423889398575,0.060426414012908936,0.23185162246227264
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.002420633565634489,0.00382537511177361,0.003980548121035099,0.0749269351363182,0.037963271141052246,0.05435359477996826,0.07212615013122559,0.046158455312252045,0.0721261203289032,0.24122609943151474
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.0026394485030323267,0.002413776470348239,0.0028792975936084986,0.0763009786605835,0.05015599727630615,0.05108928680419922,0.07432293891906738,0.05062262713909149,0.07432284951210022,0.24337469041347504
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.0024925442412495613,0.0024486822076141834,0.0018785829888656735,0.0758620910346508,0.025699138641357422,0.04014933109283447,0.06255578994750977,0.032924264669418335,0.06255558133125305,0.24502383172512054
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.002735597314313054,0.002725688274949789,0.0040541719645261765,0.07612388953566551,0.04902005195617676,0.04571068286895752,0.0715334415435791,0.04736541211605072,0.07153338193893433,0.2494043931365013
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.0033870600163936615,0.0036996223498135805,0.004907325841486454,0.10689636319875717,0.05477869510650635,0.03799760341644287,0.0737466812133789,0.04638812690973282,0.07374683022499084,0.2464722990989685
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.0025550927966833115,0.0030402240809053183,0.004860816057771444,0.10945416614413261,0.00765681266784668,0.03987228870391846,0.03815913200378418,0.023764505982398987,0.038158953189849854,0.24882543087005615
