method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.16649672389030457,0.06477038562297821,0.17878232896327972,0.20116175711154938,0.17759957909584045,0.05059707164764404,0.10512958467006683,0.30868610739707947,0.18857739865779877,0.06351514905691147,0.19015346467494965,0.2447224259376526,0.17755790054798126
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.2490953803062439,0.062027256935834885,0.12929072976112366,0.4552391767501831,0.17754147946834564,0.04960211366415024,0.15863972902297974,0.2554921805858612,0.17823755741119385,0.046214185655117035,0.13417522609233856,0.28323379158973694,0.20162480572859445
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.20217065513134003,0.05433325096964836,0.18940673768520355,0.2831672728061676,0.23023352026939392,0.046586811542510986,0.2668392062187195,0.2783878445625305,0.27577751874923706,0.04527193307876587,0.2372359335422516,0.4207063615322113,0.236060564716657
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.14749112725257874,0.04088972136378288,0.18079009652137756,0.1633928269147873,0.18488755822181702,0.02046734094619751,0.11022273451089859,0.33543866872787476,0.1761695146560669,0.046411000192165375,0.1921994388103485,0.22002814710140228,0.1695160667101542
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.19697245955467224,0.040859781205654144,0.18580909073352814,0.28018784523010254,0.21709391474723816,0.046675167977809906,0.16363801062107086,0.3492046296596527,0.2586192190647125,0.03619984909892082,0.2855679988861084,0.33432552218437195,0.22422853112220764
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.14449544250965118,0.024989118799567223,0.17322082817554474,0.17092683911323547,0.14515560865402222,0.03395247459411621,0.11162260919809341,0.23001311719417572,0.20924240350723267,0.02754036709666252,0.1704571545124054,0.3318901062011719,0.16629781822363535
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.1757340133190155,0.04331332445144653,0.1690577268600464,0.24352754652500153,0.21098355948925018,0.03975173085927963,0.15590278804302216,0.3450944125652313,0.22378897666931152,0.0465882234275341,0.2047998011112213,0.3245631456375122,0.2035021831591924
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.19773906469345093,0.037796199321746826,0.1590815782546997,0.31021636724472046,0.156154066324234,0.04135247319936752,0.09354470670223236,0.27174878120422363,0.1465025544166565,0.050005555152893066,0.15675321221351624,0.18078897893428802,0.16679856181144714
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.2014979124069214,0.03665822744369507,0.18167296051979065,0.2974027395248413,0.22189846634864807,0.02242910861968994,0.18807142972946167,0.3477883040904999,0.2635825574398041,0.03712765499949455,0.20262347161769867,0.42905932664871216,0.22899297873179117
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.23663707077503204,0.023167332634329796,0.27322879433631897,0.29856985807418823,0.19530928134918213,0.034999869763851166,0.10797803848981857,0.35662949085235596,0.23195558786392212,0.026971381157636642,0.20278139412403107,0.35573792457580566,0.2213006466627121
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.18869997560977936,0.05631290003657341,0.13241718709468842,0.306084543466568,0.1856505572795868,0.02939971350133419,0.16097109019756317,0.2824458181858063,0.18749599158763885,0.056264739483594894,0.09699150919914246,0.338568776845932,0.18728217482566833
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.15606416761875153,0.04944588989019394,0.14300206303596497,0.21833471953868866,0.1885015219449997,0.020467719063162804,0.12669409811496735,0.32786303758621216,0.17086546123027802,0.08311313390731812,0.1751878559589386,0.20704416930675507,0.17181038359800974
seg-only,0,"(1.5, 8.0, 0.7, 0.6)",0.13539862632751465,0.06247337907552719,0.16878190636634827,0.1356731504201889,0.1673687994480133,0.054415762424468994,0.15400224924087524,0.23286756873130798,0.3046926259994507,0.07623841613531113,0.2095293402671814,0.5052962899208069,0.2024866839249929
