method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.0)",0.07627923041582108,0.04800800979137421,0.07898642867803574,0.40737031400203705,0.19913768768310547,0.15623605251312256,0.253551721572876,0.1776868924498558,0.25355178117752075,0.6276971995830536
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.0)",0.02900863066315651,0.06184282898902893,0.08793731778860092,0.48158739507198334,0.18019795417785645,0.1413034200668335,0.2346203327178955,0.16075070202350616,0.23462040722370148,0.6844412684440613
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.0)",0.06321555376052856,0.06413843482732773,0.03946438059210777,0.48399631679058075,0.1361027956008911,0.14378690719604492,0.22506070137023926,0.13994482159614563,0.22506077587604523,0.6580294668674469
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.0)",0.047863684594631195,0.06769523024559021,0.05064444988965988,0.5127631723880768,0.12086749076843262,0.1401686668395996,0.15845346450805664,0.1305181309580803,0.1584535390138626,0.6723549664020538
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.0)",0.08076468110084534,0.08627729117870331,0.09967547655105591,0.48169589042663574,0.12671005725860596,0.14687120914459229,0.15411603450775146,0.1388401985168457,0.15411600470542908,0.6611366868019104
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.3)",0.05433957651257515,0.052447609603405,0.053523704409599304,0.34620755910873413,0.23182451725006104,0.30574584007263184,0.2571711540222168,0.2687852308154106,0.257171094417572,0.6249735951423645
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.3)",0.039657093584537506,0.027858475223183632,0.06877819448709488,0.33544185757637024,0.19767260551452637,0.17217671871185303,0.24864864349365234,0.1849246323108673,0.24864858388900757,0.5859503746032715
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.3)",0.0622430220246315,0.047603338956832886,0.08373697847127914,0.33597712218761444,0.24307870864868164,0.1812605857849121,0.27252626419067383,0.2121696099638939,0.2725262939929962,0.5836259126663208
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.3)",0.04349360242486,0.06663694977760315,0.0810626670718193,0.33123739063739777,0.16621744632720947,0.22193598747253418,0.22968661785125732,0.19407673925161362,0.22968661785125732,0.5967190861701965
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.3)",0.04722430557012558,0.051506396383047104,0.07929082214832306,0.36535973846912384,0.23472869396209717,0.20045363903045654,0.23654675483703613,0.21759116649627686,0.2365468293428421,0.601470023393631
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.3)",0.02445336803793907,0.042570725083351135,0.040664032101631165,0.3602897524833679,0.2062627077102661,0.14478111267089844,0.24416327476501465,0.1755218431353569,0.24416324496269226,0.603873997926712
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.3)",0.06256554275751114,0.045324523001909256,0.06715910881757736,0.3664487302303314,0.20046615600585938,0.2093033790588379,0.20934951305389404,0.20488479733467102,0.2093496173620224,0.6238033473491669
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.3)",0.03154181316494942,0.02512408047914505,0.06627409160137177,0.36430419981479645,0.19058012962341309,0.19185245037078857,0.26053082942962646,0.19121632725000381,0.2605307698249817,0.6151287257671356
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.3)",0.07711099833250046,0.055253662168979645,0.08202748000621796,0.42361903190612793,0.19991910457611084,0.15269172191619873,0.12345492839813232,0.17630543559789658,0.1331578493118286,0.6463894248008728
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.3)",0.05427137389779091,0.06957701593637466,0.05257308855652809,0.3964536190032959,0.1952131986618042,0.20627665519714355,0.1694943904876709,0.20074496418237686,0.16949431598186493,0.6560440063476562
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.3)",0.05115842446684837,0.054269518703222275,0.0657304897904396,0.40612421929836273,0.1985408067703247,0.17757344245910645,0.1428893804550171,0.18805716186761856,0.14288932085037231,0.6417089998722076
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.3)",0.05899471789598465,0.05721522867679596,0.05467969924211502,0.4064868986606598,0.23275816440582275,0.15746855735778809,0.1781834363937378,0.1951133981347084,0.178183451294899,0.6283389329910278
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.3)",0.06463128328323364,0.0721493661403656,0.05093818157911301,0.4776928871870041,0.16974210739135742,0.14834773540496826,0.135461688041687,0.15924078971147537,0.1354617029428482,0.6631033420562744
