d_sigma_L,d_sigma_R,d_sigma_W,d_pos,d_width,sigma_W_A,sigma_W_B,method,pair,y_A,width_px,ncc
0.12178564071655273,0.22353553771972656,0.43603944778442383,3.7188820838928223,0.47564697265625,7.526766777038574,7.962806224822998,learned,sem0038.png->sem0026.png,3377,24.0,0.6751767992973328
0.005602836608886719,0.03745746612548828,0.030031204223632812,1.6495995887223638,0.22656637023644777,7.997475624084473,8.027506828308105,classical,sem0038.png->sem0026.png,3424,24.0,0.6751767992973328
0.008400440216064453,0.1334986686706543,0.10875749588012695,3.7325518131256104,0.12139129638671875,7.94891881942749,8.057676315307617,learned,sem0038.png->sem0026.png,3424,24.0,0.6751767992973328
0.23662018775939941,0.22457432746887207,0.7010049819946289,2.156235942775542,0.7465942813479671,2.672605037689209,3.373610019683838,classical,sem0021.png->sem0050.png,190,24.5,0.6509872674942017
0.020258426666259766,0.49584531784057617,0.24216985702514648,5.149723529815674,1.3362579345703125,6.454196453094482,6.696366310119629,learned,sem0021.png->sem0050.png,190,24.5,0.6509872674942017
0.22743010520935059,0.08520150184631348,0.17375588417053223,1.8916277491293334,0.1320949170087644,2.9719910621643066,3.145746946334839,classical,sem0021.png->sem0050.png,461,23.0,0.6509872674942017
0.06204986572265625,0.3971368074417114,0.5281476974487305,3.8801512718200684,0.08633041381835938,4.648704528808594,5.176852226257324,learned,sem0021.png->sem0050.png,461,23.0,0.6509872674942017
0.16853547096252441,0.05790543556213379,0.046840667724609375,1.776397950312716,0.12540434840490633,2.978442907333374,3.0252835750579834,classical,sem0021.png->sem0050.png,508,23.0,0.6509872674942017
0.04572629928588867,0.046563148498535156,0.1388411521911621,2.6801061630249023,0.06928253173828125,3.746748447418213,3.607907295227051,learned,sem0021.png->sem0050.png,508,23.0,0.6509872674942017
0.012497425079345703,0.9020729064941406,0.12352561950683594,2.100637980391731,0.593757606463214,3.1999075412750244,3.3234331607818604,classical,sem0021.png->sem0050.png,644,24.5,0.6509872674942017
0.10204124450683594,0.07791328430175781,0.178466796875,3.9561080932617188,0.03047943115234375,6.854804992675781,7.033271789550781,learned,sem0021.png->sem0050.png,644,24.5,0.6509872674942017
0.17615914344787598,0.36435389518737793,0.6507563591003418,1.6855292174463004,3.271922064950658,7.668774604797363,7.0180182456970215,classical,sem0021.png->sem0050.png,821,23.0,0.6509872674942017
0.18735122680664062,0.8224291801452637,0.7257881164550781,5.680687427520752,1.0294227600097656,8.661423683166504,7.935635566711426,learned,sem0021.png->sem0050.png,821,23.0,0.6509872674942017
0.3049013614654541,1.4536983966827393,1.0996131896972656,1.712978425991098,0.4853366838262261,6.284422874450684,5.184809684753418,classical,sem0021.png->sem0050.png,867,24.5,0.6509872674942017
0.1820087432861328,0.32852840423583984,0.011839866638183594,5.42591667175293,0.6586952209472656,8.606729507446289,8.594889640808105,learned,sem0021.png->sem0050.png,867,24.5,0.6509872674942017
0.5268001556396484,0.17114019393920898,0.9831094741821289,3.0237582225782544,1.2125739931561554,7.508965492248535,6.525856018066406,classical,sem0021.png->sem0050.png,911,23.0,0.6509872674942017
0.598017692565918,0.11765480041503906,1.2915077209472656,5.268751621246338,0.01512908935546875,8.46743392944336,7.175926208496094,learned,sem0021.png->sem0050.png,911,23.0,0.6509872674942017
0.002660393714904785,0.0842207670211792,0.1571817398071289,1.7704736484792538,0.23873971667292437,2.5622780323028564,2.4050962924957275,classical,sem0021.png->sem0050.png,960,24.0,0.6509872674942017
0.1212472915649414,0.013840436935424805,0.3287949562072754,2.9529223442077637,0.24235153198242188,4.184262275695801,3.8554673194885254,learned,sem0021.png->sem0050.png,960,24.0,0.6509872674942017
0.49770402908325195,0.04826927185058594,0.01293802261352539,3.520397076426328,0.4357968592522212,7.9797563552856445,7.966818332672119,classical,sem0021.png->sem0050.png,1006,22.0,0.6509872674942017
0.03570413589477539,0.058785438537597656,0.11374378204345703,4.217012405395508,0.4084625244140625,8.588384628295898,8.702128410339355,learned,sem0021.png->sem0050.png,1006,22.0,0.6509872674942017
0.7477202415466309,2.2901456356048584,1.4896769523620605,3.536776648056355,1.4519255468705907,7.404371738433838,8.894048690795898,classical,sem0021.png->sem0050.png,1050,21.0,0.6509872674942017
0.19570207595825195,0.023330211639404297,0.15140819549560547,5.510830879211426,0.13658905029296875,9.886892318725586,10.038300514221191,learned,sem0021.png->sem0050.png,1050,21.0,0.6509872674942017
0.6198716163635254,0.5472798347473145,0.47867870330810547,3.790180864912777,0.3081944503938132,6.2934699058532715,6.772148609161377,classical,sem0021.png->sem0050.png,1095,21.5,0.6509872674942017
0.22698116302490234,0.054395198822021484,0.046998023986816406,5.13402795791626,1.5155677795410156,9.974212646484375,10.021210670471191,learned,sem0021.png->sem0050.png,1095,21.5,0.6509872674942017
